I (A),H (T),dP/dH
5.4,355.69960000000003,0.012327
5.4,355.69960000000003,0.02135
5.4,355.69960000000003,0.014905
5.398,355.570792,-0.016354
5.398,355.570792,0.042297
5.396,355.441984,0.034563
5.396,355.441984,0.012649
5.394,355.313176,0.043586
5.394,355.313176,0.026829
5.392,355.184368,0.081291
5.392,355.184368,0.029084
5.39,355.05555999999996,0.022961
5.39,355.05555999999996,0.00137
5.388,354.92675199999996,0.013616
5.388,354.92675199999996,0.039075
5.386,354.797944,0.012327
5.386,354.797944,0.01136
5.384,354.669136,0.012005
5.384,354.669136,-0.098531
5.382,354.540328,0.012649
5.382,354.540328,-0.042458
5.38,354.41152,0.020383
5.38,354.41152,-0.000241
5.378,354.282712,-0.12399
5.378,354.282712,-0.050192
5.376,354.153904,-0.004753
5.376,354.153904,-0.088541
5.374,354.02509599999996,0.006204
5.374,354.02509599999996,0.047776
5.372,353.89628799999997,0.057121
5.372,353.89628799999997,0.013938
5.37,353.76748,-0.057604
5.37,353.76748,-0.010876
5.368,353.638672,-0.030534
5.368,353.638672,-0.001208
5.366,353.509864,-0.007976
5.366,353.509864,-0.013454
5.364,353.381056,0.059377
5.364,353.381056,-0.049547
5.362,353.252248,-0.013776
5.362,353.252248,0.268203
5.36,353.12344,0.03553
5.36,353.12344,0.002659
5.358,352.99463199999997,-0.015065
5.358,352.99463199999997,-0.009909
5.356,352.865824,0.053576
5.356,352.865824,0.050031
5.354,352.737016,-0.01571
5.354,352.737016,0.036819
5.352,352.608208,-0.007331
5.352,352.608208,0.028762
5.35,352.47939999999994,0.026184
5.35,352.47939999999994,-0.034401
5.348,352.350592,0.05551
5.348,352.350592,-0.027311
5.346,352.221784,-0.002175
5.346,352.221784,-0.006687
5.344,352.092976,0.046487
5.344,352.092976,-0.008298
5.342,351.964168,-0.035046
5.342,351.964168,-0.024089
5.34,351.83536,-0.018933
5.34,351.83536,-0.04568
5.338,351.706552,-0.021833
5.338,351.706552,0.049065
5.336,351.577744,-0.033434
5.336,351.577744,-0.033757
5.334,351.44893599999995,-0.066305
5.334,351.44893599999995,-0.020866
5.332,351.32012799999995,-0.04568
5.332,351.32012799999995,-0.044714
5.33,351.19132,-0.050192
5.33,351.19132,0.030373
5.328,351.062512,-0.055348
5.328,351.062512,-0.06985
5.326,350.933704,-0.137203
5.326,350.933704,0.04842
5.324,350.804896,0.000725
5.324,350.804896,-0.047292
5.322,350.676088,-0.054059
5.322,350.676088,-0.107555
5.32,350.54728,-0.241615
5.32,350.54728,-0.102398
5.318,350.41847199999995,-0.153316
5.318,350.41847199999995,-0.147515
5.316,350.28966399999996,-0.076617
5.316,350.28966399999996,-0.155249
5.314,350.16085599999997,-0.112711
5.314,350.16085599999997,-0.180708
5.312,350.03204800000003,-0.179419
5.312,350.03204800000003,-0.061471
5.31,349.90324,-0.186186
5.31,349.90324,-0.189731
5.308,349.774432,-0.143326
5.308,349.774432,-0.158794
5.306,349.645624,-0.205522
5.306,349.645624,-0.227758
5.304,349.516816,0.017483
5.304,349.516816,-0.237748
5.302,349.38800799999996,-0.286088
5.302,349.38800799999996,-0.187798
5.3,349.25919999999996,-0.232914
5.3,349.25919999999996,-0.139781
5.298,349.130392,-0.205522
5.298,349.130392,0.108361
5.296,349.001584,0.661041
5.296,349.001584,0.962036
5.294,348.872776,1.76802
5.294,348.872776,2.749646
5.292,348.743968,3.673918
5.292,348.743968,4.526009
5.29,348.61516,5.383589
5.29,348.61516,6.286943
5.288,348.486352,7.248
5.288,348.486352,7.857773
5.286,348.35754399999996,8.194246
5.286,348.35754399999996,8.20875
5.284,348.22873599999997,7.931578
5.284,348.22873599999997,7.370147
5.282,348.099928,6.476124
5.282,348.099928,5.332024
5.28,347.97112,3.841822
5.28,347.97112,2.229506
5.278,347.84231199999994,0.657819
5.278,347.84231199999994,-0.837798
5.276,347.713504,-2.219326
5.276,347.713504,-3.616963
5.274,347.584696,-4.973674
5.274,347.584696,-6.045188
5.272,347.455888,-6.76802
5.272,347.455888,-7.209197
5.27,347.32707999999997,-7.278483
5.27,347.32707999999997,-7.244968
5.268,347.198272,-7.033564
5.268,347.198272,-6.705823
5.266,347.069464,-6.291396
5.266,347.069464,-5.883091
5.264,346.940656,-5.45223
5.264,346.940656,-5.010089
5.262,346.81184799999994,-4.601787
5.262,346.81184799999994,-4.217654
5.26,346.68303999999995,-3.851246
5.26,346.68303999999995,-3.437465
5.258,346.554232,-3.171924
5.258,346.554232,-2.972768
5.256,346.425424,-2.625051
5.256,346.425424,-2.27411
5.254,346.296616,-1.898356
5.254,346.296616,-1.655372
5.252,346.167808,-1.484897
5.252,346.167808,-1.09174
5.25,346.039,-0.921586
5.25,346.039,-0.715339
5.248,345.910192,-0.618661
5.248,345.910192,-0.498135
5.246,345.781384,-0.439484
5.246,345.781384,-0.317991
5.244,345.65257599999995,-0.308001
5.244,345.65257599999995,-0.263207
5.242,345.52376799999996,-0.245805
5.242,345.52376799999996,-0.280931
5.24,345.39496,-0.236782
5.24,345.39496,-0.175552
5.238,345.26615200000003,-0.158472
5.238,345.26615200000003,-0.165239
5.236,345.137344,-0.156861
5.236,345.137344,-0.090797
5.234,345.008536,-0.112066
5.234,345.008536,-0.067594
5.232,344.879728,-0.07694
5.232,344.879728,-0.084674
5.23,344.75092,-0.090797
5.23,344.75092,-0.157183
5.228,344.62211199999996,-0.1169
5.228,344.62211199999996,-0.094664
5.226,344.49330399999997,-0.067594
5.226,344.49330399999997,-0.075328
5.224,344.364496,-0.08983
5.224,344.364496,-0.078229
5.222,344.23568800000004,-0.059215
5.222,344.23568800000004,0.064856
5.22,344.10688,-0.055348
5.22,344.10688,-0.06985
5.218,343.978072,-0.043102
5.218,343.978072,-0.035046
5.216,343.849264,-0.013132
5.216,343.849264,-0.028923
5.214,343.720456,-0.040846
5.214,343.720456,-0.029567
5.212,343.59164799999996,-0.017321
5.212,343.59164799999996,-0.016032
5.21,343.46283999999997,-0.026667
5.21,343.46283999999997,-0.019577
5.208,343.334032,-0.022155
5.208,343.334032,-0.031823
5.206,343.205224,-0.030212
5.206,343.205224,-0.027311
5.204,343.076416,-0.00572
5.204,343.076416,-0.029567
5.202,342.947608,0.028118
5.202,342.947608,0.02135
5.2,342.8188,-0.026022
5.2,342.8188,-0.023122
5.198,342.689992,-0.032145
5.198,342.689992,0.102882
5.196,342.56118399999997,-0.004753
5.196,342.56118399999997,0.005237
5.194,342.432376,-0.029245
5.194,342.432376,-0.032468
5.192,342.303568,-0.003786
5.192,342.303568,0.037463
5.19,342.17476,0.012327
5.19,342.17476,0.070012
5.188,342.04595199999994,-0.004431
5.188,342.04595199999994,-0.00153
5.186,341.917144,-0.006364
5.186,341.917144,0.04842
