6.500000	,	0.011682	
	6.500000	,	0.015549	
	6.500000	,	0.062277	
	6.498000	,	0.016516	
	6.498000	,	0.017805	
	6.496000	,	0.007493	
	6.496000	,	0.059377	
	6.494000	,	-0.004753	
	6.494000	,	0.016516	
	6.492000	,	0.041975	
	6.492000	,	-0.126890	
	6.490000	,	0.008137	
	6.490000	,	0.007493	
	6.488000	,	0.027151	
	6.488000	,	-0.004431	
	6.486000	,	0.003626	
	6.486000	,	-0.020544	
	6.484000	,	-0.010876	
	6.484000	,	-0.040846	
	6.482000	,	0.013616	
	6.482000	,	0.002659	
	6.480000	,	0.041975	
	6.480000	,	-0.016677	
	6.478000	,	-0.017321	
	6.478000	,	-0.001853	
	6.476000	,	-0.019255	
	6.476000	,	-0.054059	
	6.474000	,	0.012005	
	6.474000	,	-0.026989	
	6.472000	,	0.004593	
	6.472000	,	-0.010876	
	6.470000	,	0.017483	
	6.470000	,	-0.000564	
	6.468000	,	0.047776	
	6.468000	,	-0.000241	
	6.466000	,	0.029729	
	6.466000	,	0.023284	
	6.464000	,	0.049387	
	6.464000	,	0.002659	
	6.462000	,	-0.034723	
	6.462000	,	-0.010554	
	6.460000	,	-0.040524	
	6.460000	,	-0.010554	
	6.458000	,	0.011682	
	6.458000	,	0.012005	
	6.456000	,	-0.014099	
	6.456000	,	-0.050514	
	6.454000	,	0.003948	
	6.454000	,	0.052932	
	6.452000	,	-0.020866	
	6.452000	,	0.112228	
	6.450000	,	-0.017966	
	6.450000	,	0.060988	
	6.448000	,	0.001692	
	6.448000	,	0.071623	
	6.446000	,	-0.020866	
	6.446000	,	-0.028600	
	6.444000	,	-0.016999	
	6.444000	,	0.011360	
	6.442000	,	-0.013776	
	6.442000	,	-0.072106	
	6.440000	,	0.041975	
	6.440000	,	-0.047936	
	6.438000	,	-0.079196	
	6.438000	,	0.060022	
	6.436000	,	-0.027956	
	6.436000	,	0.011360	
	6.434000	,	-0.011198	
	6.434000	,	0.100627	
	6.432000	,	-0.002175	
	6.432000	,	-0.006687	
	6.430000	,	0.024251	
	6.430000	,	0.031018	
	6.428000	,	0.017161	
	6.428000	,	-0.042135	
	6.426000	,	0.011038	
	6.426000	,	-0.098854	
	6.424000	,	-0.006687	
	6.424000	,	-0.001530	
	6.422000	,	0.005237	
	6.422000	,	-0.062760	
	6.420000	,	-0.015388	
	6.420000	,	0.076457	
	6.418000	,	0.033596	
	6.418000	,	-0.056315	
	6.416000	,	-0.015065	
	6.416000	,	-0.006042	
	6.414000	,	0.124474	
	6.414000	,	-0.002819	
	6.412000	,	-0.023767	
	6.412000	,	-0.013776	
	6.410000	,	-0.021188	
	6.410000	,	-0.031179	
